Date,AAPL,MSFT,GOOG,AMZN,TSLA,NVDA
2023-01-03,112117500,25740000,20738500,76706000,231402800,401277000
2023-01-04,89113600,50623400,27046500,68885100,180389000,431324000
2023-01-05,80962700,39585600,23136100,67930800,157986300,389168000
2023-01-06,87754700,43613600,26612600,83303400,220911100,405044000
2023-01-09,70790800,27369800,22996700,65266100,190284000,504231000
2023-01-10,63896200,27033900,22855600,67756600,167642500,384101000
2023-01-11,69458900,28669300,25998800,103126200,183810800,353285000
2023-01-12,71379600,27269500,22754200,85254800,169400900,551409000
2023-01-13,57809700,21333300,18630700,85549400,180714100,447287000
2023-01-17,63646600,29831300,22935800,72755000,186477000,511102000
2023-01-18,69672800,30028700,19641600,79570400,195680300,439624000
2023-01-19,58280400,28623000,28707700,69002700,170291900,452932000
2023-01-20,80223600,35389800,53704800,67481500,138858100,564967000
2023-01-23,81760300,31934000,31791800,76501100,203119200,655163000
2023-01-24,66435100,40234400,27391400,66929500,158699100,496204000
2023-01-25,65799300,66526600,31000900,94261600,192734300,449537000
2023-01-26,54105100,33454500,24542100,68523600,234815100,489535000
2023-01-27,70555800,26498900,29020400,87775600,306590600,542142000
2023-01-30,64015300,25867400,24365100,70691900,230878800,488611000
2023-01-31,65874500,26541100,22306800,66527300,196813500,498017000
2023-02-01,77663600,31259900,26392600,80450100,213806300,660477000
2023-02-02,118339000,39940400,46622600,158154200,217448300,564276000
2023-02-03,154357300,29077300,36823400,144374800,232662000,429366000
2023-02-06,69858300,22518000,25573000,81945200,186188100,452197000
2023-02-07,83322600,50841400,33738800,119501300,186010300,664150000
2023-02-08,64120100,54686000,73546000,75878300,180673600,559651000
2023-02-09,56007100,42375100,97798600,64622500,215431400,523876000
2023-02-10,57450700,25818500,49325300,52740100,204754100,550737000
2023-02-13,62199000,44630900,43116600,52841500,172475500,474919000
2023-02-14,61707600,37047900,42513100,56202900,216455700,675474000
2023-02-15,65573800,28922400,36964500,47957600,181006400,420575000
2023-02-16,68167900,29603600,35642100,56339200,229586500,412026000
2023-02-17,59144100,30000100,31095100,60029400,213738500,465888000
2023-02-21,58867200,28397400,28367200,56580400,180018600,410015000
2023-02-22,51011300,22491100,29891100,59534100,191828500,513184000
2023-02-23,48394200,29219100,32423700,48467000,146360000,1117995000
2023-02-24,55469600,24990900,31295600,57053800,142228100,589716000
2023-02-27,44998500,21190000,22724300,47470300,161028300,452994000
2023-02-28,50547000,22491000,30546900,43959300,153144900,455963000
2023-03-01,55479000,27565300,26323900,52299500,156852800,460026000
2023-03-02,52238100,24808200,23328600,55509400,181500700,389415000
2023-03-03,70732300,30760100,30242500,55759600,154193300,412393000
2023-03-06,87558000,24109800,28288200,52112400,128100100,437429000
2023-03-07,56182000,21473200,24101500,49100700,148125800,515154000
2023-03-08,47204800,17340200,25395200,44899100,151897800,513573000
2023-03-09,53833600,26653400,24438900,56218700,170023800,501257000
2023-03-10,68572400,28333900,32850100,69827500,191488900,474866000
2023-03-13,84457100,33339700,31508600,72397100,167790300,421890000
2023-03-14,73695900,33620300,32303900,60912700,143717900,474910000
2023-03-15,77167900,46028000,38367300,70731800,145995600,524486000
2023-03-16,76161100,54768800,54499500,84446900,121136800,583253000
2023-03-17,98944600,69527400,76140300,87300200,133197100,848547000
2023-03-20,73641400,43466600,26033900,62388900,129684400,432747000
2023-03-21,73938300,34558700,33122800,58597300,153391400,547408000
2023-03-22,75701800,34873300,32336900,57475400,150376400,797295000
2023-03-23,67622100,36610900,31385800,57559300,144193900,564889000
2023-03-24,59196500,28172000,25236200,56095400,116312400,454920000
2023-03-27,52390300,26840200,25393400,46721300,120851600,361026000
2023-03-28,45992200,21878600,24913500,38720100,98654600,356104000
2023-03-29,51305700,25087000,26148300,49783300,123660000,393694000
2023-03-30,49501700,25053400,25009800,53633400,110252200,364516000
2023-03-31,68749800,32766000,28108000,56750300,170222100,433933000
2023-04-03,56976200,24883300,20719900,41135700,169545900,398716000
2023-04-04,46278300,25824300,20377200,48662500,126463800,368592000
2023-04-05,51511700,22064800,21864200,45175400,133882500,515015000
2023-04-06,45390100,29770300,34684200,43808000,123857900,397654000
2023-04-10,47716900,23103000,19741500,37261200,142154600,395279000
2023-04-11,47644200,27276600,18721300,60417800,115770900,314378000
2023-04-12,50133100,27403400,22761600,56735000,150256300,446259000
2023-04-13,68445600,24222700,21650700,67925100,112933000,353615000
2023-04-14,49386500,20987900,20758700,51450500,96438700,395660000
2023-04-17,41516200,23836200,29043400,39919500,116662200,321471000
2023-04-18,49923000,20161800,17641400,39790500,92067000,604812000
2023-04-19,47720200,17150300,16732000,58398900,125732700,358660000
2023-04-20,52456400,23244400,22515300,57696900,210970800,427713000
2023-04-21,58337300,21676400,22379000,86774200,123539000,345103000
2023-04-24,41949600,26611000,21410900,69575600,140006600,339282000
